# See the README.table.md file in this folder for details about this data.

ぺ		0	0	0	0	0	1	0	0	0		zjhe		0
ほ		0	0	0	0	0	1	0	0	0		zjho		0
ぼ		0	0	0	0	0	1	0	0	0		zjho		0
ぽ		0	0	0	0	0	1	0	0	0		zjho		0
ま		0	0	0	0	0	1	0	0	0		zjma		0
み		0	0	0	0	0	1	0	0	0		zjmi		0
む		0	0	0	0	0	1	0	0	0		zjmu		0
め		0	0	0	0	0	1	0	0	0		zjme		0
も		0	0	0	0	0	1	0	0	0		zjmo		0
ゃ		0	0	0	0	0	1	0	0	0		zjya		0
や		0	0	0	0	0	1	0	0	0		zjya		0
ゅ		0	0	0	0	0	1	0	0	0		zjyu		0
ゆ		0	0	0	0	0	1	0	0	0		zjyu		0
ょ		0	0	0	0	0	1	0	0	0		zjyo		0
よ		0	0	0	0	0	1	0	0	0		zjyo		0
ら		0	0	0	0	0	1	0	0	0		zjra		0
り		0	0	0	0	0	1	0	0	0		zjri		0
る		0	0	0	0	0	1	0	0	0		zjro		0
れ		0	0	0	0	0	1	0	0	0		zjre		0
ろ		0	0	0	0	0	1	0	0	0		zjro		0
ゎ		0	0	0	0	0	1	0	0	0		zjwa		0
わ		0	0	0	0	0	1	0	0	0		zjwa		0
ゐ		0	0	0	0	0	1	0	0	0		zjwi		0
ゑ		0	0	0	0	0	1	0	0	0		zjwe		0
を		0	0	0	0	0	1	0	0	0		zjwo		0
ん		0	0	0	0	0	1	0	0	0		zjn		0
ァ		0	0	0	0	0	0	1	0	0		zja		0
ア		0	0	0	0	0	0	1	0	0		zja		0
ィ		0	0	0	0	0	0	1	0	0		zji		0
イ		0	0	0	0	0	0	1	0	0		zji		0
ゥ		0	0	0	0	0	0	1	0	0		zju		0
ウ		0	0	0	0	0	0	1	0	0		zju		0
ェ		0	0	0	0	0	0	1	0	0		zje		0
エ		0	0	0	0	0	0	1	0	0		zje		0
ォ		0	0	0	0	0	0	1	0	0		zjo		0
オ		0	0	0	0	0	0	1	0	0		zjo		0
カ		0	0	0	0	0	0	1	0	0		zjka		0
ガ		0	0	0	0	0	0	1	0	0		zjka		0
キ		0	0	0	0	0	0	1	0	0		zjki		0
ギ		0	0	0	0	0	0	1	0	0		zjki		0
ク		0	0	0	0	0	0	1	0	0		zjku		0
グ		0	0	0	0	0	0	1	0	0		zjku		0
ケ		0	0	0	0	0	0	1	0	0		zjke		0
ゲ		0	0	0	0	0	0	1	0	0		zjke		0
コ		0	0	0	0	0	0	1	0	0		zjko		0
ゴ		0	0	0	0	0	0	1	0	0		zjko		0
サ		0	0	0	0	0	0	1	0	0		zjsa		0
ザ		0	0	0	0	0	0	1	0	0		zjsa		0
シ		0	0	0	0	0	0	1	0	0		zjsi		0
ジ		0	0	0	0	0	0	1	0	0		zjsi		0
ス		0	0	0	0	0	0	1	0	0		zjsu		0
ズ		0	0	0	0	0	0	1	0	0		zjsu		0
セ		0	0	0	0	0	0	1	0	0		zjse		0
ゼ		0	0	0	0	0	0	1	0	0		zjse		0
ソ		0	0	0	0	0	0	1	0	0		zjso		0
ゾ		0	0	0	0	0	0	1	0	0		zjso		0
タ		0	0	0	0	0	0	1	0	0		zjta		0
ダ		0	0	0	0	0	0	1	0	0		zjta		0
チ		0	0	0	0	0	0	1	0	0		zjti		0
ヂ		0	0	0	0	0	0	1	0	0		zjti		0
ッ		0	0	0	0	0	0	1	0	0		zjtu		0
ツ		0	0	0	0	0	0	1	0	0		zjtu		0
ヅ		0	0	0	0	0	0	1	0	0		zjtu		0
テ		0	0	0	0	0	0	1	0	0		zjte		0
デ		0	0	0	0	0	0	1	0	0		zjte		0
ト		0	0	0	0	0	0	1	0	0		zjto		0
ド		0	0	0	0	0	0	1	0	0		zjto		0
ナ		0	0	0	0	0	0	1	0	0		zjna		0
ニ		0	0	0	0	0	0	1	0	0		zjni		0
ヌ		0	0	0	0	0	0	1	0	0		zjnu		0
ネ		0	0	0	0	0	0	1	0	0		zjne		0
ノ		0	0	0	0	0	0	1	0	0		zjno		0
ハ		0	0	0	0	0	0	1	0	0		zjha		0
バ		0	0	0	0	0	0	1	0	0		zjha		0
パ		0	0	0	0	0	0	1	0	0		zjha		0
ヒ		0	0	0	0	0	0	1	0	0		zjhi		0
ビ		0	0	0	0	0	0	1	0	0		zjhi		0
ピ		0	0	0	0	0	0	1	0	0		zjhi		0
フ		0	0	0	0	0	0	1	0	0		zjhu		0
ブ		0	0	0	0	0	0	1	0	0		zjhu		0
プ		0	0	0	0	0	0	1	0	0		zjhu		0
ヘ		0	0	0	0	0	0	1	0	0		zjhe		0
ベ		0	0	0	0	0	0	1	0	0		zjhe		0
ペ		0	0	0	0	0	0	1	0	0		zjhe		0
ホ		0	0	0	0	0	0	1	0	0		zjho		0
ボ		0	0	0	0	0	0	1	0	0		zjho		0
ポ		0	0	0	0	0	0	1	0	0		zjho		0
マ		0	0	0	0	0	0	1	0	0		zjma		0
ミ		0	0	0	0	0	0	1	0	0		zjmi		0
ム		0	0	0	0	0	0	1	0	0		zjmu		0
メ		0	0	0	0	0	0	1	0	0		zjme		0
モ		0	0	0	0	0	0	1	0	0		zjmo		0
ャ		0	0	0	0	0	0	1	0	0		zjya		0
